common_name,habitat_1,habitat_2,habitat_3,habitat_4,range,insectivore,riparian_dependent_breeding,riparian_obligate_breeding,rip_obl_rich2002,rip_dep_rich2002,rip_asso_rich2002,foraging_guild_cornell,breeding_guild
Savannah Sparrow,Grasslands,Open Space Developed,,,Breeding,Yes,,,,,,ground forager,
Sharp-shinned Hawk,Forest,,,,Year-Round,,,,,,,aerial dive,
Song Sparrow,Riparian,Low Intensity Developed,Forest,Grasslands,Year-Round,Yes,,,X,,X,ground forager,
Sooty Grouse,Forest,,,,Year-Round,,,,,,,ground forager,
Spotted Sandpiper,Open Water,,,,Year-Round,,,,,,,probing,
Spotted Towhee,Forest,,,,Year-Round,Yes,,,,,,ground forager,
Steller's Jay,Forest,Woodland,,,Year-Round,,,,,,,ground forager,
Swainson's Hawk,,,,,,,,,,X,X,soaring,
Swainson's Thrush,Riparian,Evergreen Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Townsend's Warbler,Evergreen Forest,,,,Year-Round,Yes,,,,,,foliage gleaner,
Tree Swallow,Riparian,Woody and Herbaceous Wetlands,,,Breeding,Yes,,,,X,X,aerial forager,
Turkey Vulture,Forest,Low Intensity Developed,Grasslands,,Breeding,,,,,,,soaring,
Varied Thrush,Forest,,,,Year-Round,Yes,,,,,,ground forager,
Vaux's Swift,Evergreen Forest,Medium Intensity Urban,,,Breeding,Yes,,,,,,aerial forager,
Violet-green Swallow,Woodland,,,,Breeding,Yes,,,,,,aerial forager,
Virginia Rail,Marsh,Woody and Herbaceous Wetlands,,,Year-Round,,,,,,,probing,
Warbling Vireo,Riparian,Deciduous Forest,Marsh,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Western Bluebird,Riparian,Low Intensity Developed,Grasslands,Woodland,Breeding,Yes,,,,,,flycatching,
Pacific-slope Flycatcher,Riparian,Forest,,,Breeding,Yes,,,,X,X,flycatching,
Western Meadowlark,Grasslands,,,,Year-Round,Yes,,,,,,ground forager,
Western Screech-Owl,Riparian,Deciduous Forest,,,Year-Round,,,,,,,aerial dive,
Western Tanager,Forest,Woodland,,,Breeding,Yes,,,,,,foliage gleaner,
Western Wood-Pewee,Riparian,Forest,Woodland,,Breeding,Yes,Yes,,,X,X,flycatching,
White-crowned Sparrow,Grasslands,Medium Intensity Urban,Low Intensity Developed,Forest,Year-Round,,,,,,,ground forager,
White-throated Sparrow,Forest,,,,Migration,Yes,,,,,,ground forager,
Willow Flycatcher,Riparian,Evergreen Forest,,,Breeding,Yes,Yes,Yes,X,,X,flycatching,
Wilson's Warbler,Riparian,Forest,Woodland,,Breeding,Yes,Yes,Yes,X,,X,foliage gleaner,
Wood Duck,Riparian,Open Water,Woody and Herbaceous Wetlands,,Year-Round,,,,,,,dabbler,
Yellow Warbler,Riparian,Deciduous Forest,,,Breeding,Yes,Yes,Yes,,,X,foliage gleaner,
Yellow-breasted Chat,,,,,,,,,,,,foliage gleaner,
Yellow-rumped Warbler,Evergreen Forest,,,,Year-Round,Yes,,,,,,foliage gleaner,
